状态,代码,名称,科技归属,科技证据,日线买信号,日线日期,日线价格,周线买信号,周线日期,周线价格,最高单信号分,综合分
近1月日线+周线,SZ.300235,方直科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / 虚拟数字人 / 元宇宙概念；AI算力/数据中心产业链 / 算力租赁/智算云服务 / 云计算,MACD绿柱扩大_零上,2026-05-27,13.2,MACD绿柱缩小_零下,2026-05-15,13.945,31.5,159.6
近1月日线+周线,SH.603861,白云电器,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / 数据中心,背驰买,2026-05-27,14.98,MACD绿柱扩大_零上,2026-05-29,17.05,35,158.7
近1月日线+周线,SZ.002081,金 螳 螂,半导体产业链,半导体产业链 / 第三代半导体 / 第三代半导体,三买 / 趋势买 / MACD绿柱扩大_零上,2026-05-28,5.6,缺口买:普通,2026-05-08,6.8,32.5,156.3
近1月日线+周线,SH.603533,掌阅科技,AI算力/数据中心产业链 / 消费电子/华为链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / AI语料 / 数字阅读 / 数字阅读平台；消费电子/华为链 / 消费电子/华为链 / 鸿蒙概念,一买 / 缺口买:普通,2026-05-27,25.85,MACD绿柱扩大_零上,2026-05-29,24.04,31.5,155
近1月日线+周线,SZ.002185,华天科技,光模块/CPO产业链 / 半导体产业链,光模块/CPO产业链 / 光模块/CPO / CPO概念；半导体产业链 / 芯片设计 / 华为海思；半导体产业链 / 第三代半导体 / 氮化镓,缺口买:持续 / 缺口买:普通,2026-05-27,20.15,缺口买:持续,2026-05-08,13.74,14,150.6
近1月日线+周线,SZ.301001,凯淳股份,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用,一买 / MACD绿柱扩大_零上,2026-05-28,26.12,MACD绿柱缩小_零下,2026-05-15,30.24,30,145.2
近1月日线+周线,SH.601992,金隅集团,军工装备产业链:商业航天/卫星互联网,军工装备产业链 / 商业航天/卫星互联网 / 商业航天,一买 / 背驰买,2026-05-21,1.52,MACD绿柱扩大_零上,2026-05-15,1.6,35,144.5
近1月日线+周线,SZ.301262,海看股份,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 数字经济；AI算力/数据中心产业链 / AI服务器/数据中心 / 生物识别；AI算力/数据中心产业链 / 国产算力/华为生态 / 国产软件,背驰买,2026-05-26,21.21,MACD绿柱缩小_零下,2026-05-15,23.16,30,143.6
近1月日线+周线,SZ.002153,石基信息,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件,一买,2026-05-28,8.09,MACD绿柱缩小_零下,2026-05-15,9.4,30,142.4
近1月日线+周线,SH.603977,国泰集团,军工装备产业链:航空航天/船舶 / AI算力/数据中心产业链 / 消费电子/华为链,军工装备产业链 / 航空航天/船舶 / 军民融合 / 无人机 / 军工；AI算力/数据中心产业链 / AI应用/智能体 / 元宇宙概念；消费电子/华为链 / 消费电子/华为链 / 虚拟现实,一买,2026-05-22,13.14,MACD绿柱扩大_零上,2026-05-22,13.6,33.25,139.6
近1月日线+周线,SH.600640,国脉文化,AI算力/数据中心产业链 / 消费电子/华为链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 虚拟数字人 / 元宇宙概念 / 数字阅读；消费电子/华为链 / 消费电子/华为链 / AI眼镜 / 空间计算 / 虚拟现实,一买 / MACD绿柱扩大_零上,2026-05-29,11.59,MACD绿柱缩小_零下,2026-05-22,12.34,30,137.9
近1月日线+周线,SH.920953,国子软件,AI算力/数据中心产业链 / 通信网络/5G产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 数据安全 / 人工智能；AI算力/数据中心产业链 / 国产算力/华为生态 / 信创 / 国产软件；AI算力/数据中心产业链 / AI服务器/数据中心 / 生物识别,一买,2026-05-28,24.4,MACD绿柱缩小_零下,2026-05-22,28.25,30,137.6
近1月日线+周线,SH.603103,横店影视,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 虚拟现实,一买 / 背驰买,2026-05-22,19.52,MACD绿柱扩大_零上,2026-05-29,22.92,33.25,137.1
近1月日线+周线,SH.600678,四川金顶,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / DeepSeek概念,MACD绿柱缩小_零下,2026-05-28,6.47,缺口买:衰竭,2026-05-15,6.9,30,136.7
近1月日线+周线,SZ.002640,跨境通,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 无线耳机,MACD绿柱扩大_零上,2026-05-28,3.87,缺口买:普通,2026-05-08,4.13,31.5,135.9
近1月日线+周线,SZ.300291,百纳千成,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / ChatGPT概念 / AIGC概念 / 百度概念；AI算力/数据中心产业链 / AI应用/智能体 / 虚拟数字人,一买 / 拒绝回调相对强度,2026-06-01,7.14,MACD绿柱扩大_零上,2026-05-22,5.8,81.134,134.5
近1月日线+周线,SH.688499,利元亨,机器人/自动化产业链 / AI算力/数据中心产业链 / 消费电子/华为链,机器人/自动化产业链 / 自动化/机器人 / 人形机器人 / 机器人概念；AI算力/数据中心产业链 / AI应用/智能体 / 数字孪生；消费电子/华为链 / 消费电子/华为链 / 华为概念,二买 / 形态:头肩底,2026-05-26,54.7,MACD绿柱缩小_零下,2026-05-22,57.78,34.1,133.6
近1月日线+周线,SZ.300180,华峰超纤,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 数字货币,一买 / 背驰买,2026-05-26,4.72,一买,2026-05-29,4.72,28,129.9
近1月日线+周线,SZ.300170,汉得信息,AI算力/数据中心产业链 / 机器人/自动化产业链,AI算力/数据中心产业链 / AI应用/智能体 / 智谱AI概念 / 财税数字化 / Kimi概念 / ERP概念；AI算力/数据中心产业链 / AI服务器/数据中心 / AIGC概念 / 百度概念；AI算力/数据中心产业链 / 算力租赁/智算云服务 / 云计算,MACD绿柱扩大_零上,2026-05-26,19.65,MACD绿柱扩大_零上,2026-05-29,19,26.25,127.5
近1月日线+周线,SH.601958,金钼股份,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / OLED,三买,2026-05-18,20.15,MACD绿柱扩大_零上,2026-05-08,20.96,32.5,127
近1月日线+周线,SZ.002214,*ST大立,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 军工电子Ⅲ / 军工电子Ⅱ,MACD绿柱扩大_零上 / 缺口买:衰竭,2026-06-01,14.13,MACD绿柱扩大_零上 / 缺口买:衰竭,2026-06-01,14.13,29.75,126.6
近1月日线+周线,SH.920879,基康技术,机器人/自动化产业链 / AI算力/数据中心产业链 / 通信网络/5G产业链,机器人/自动化产业链 / 自动化/机器人 / 仪器仪表 / 机器视觉 / 传感器；AI算力/数据中心产业链 / AI应用/智能体 / 数据要素 / 数字孪生 / 智慧城市；通信网络/5G产业链 / 通信设备/网络建设 / 物联网,一买 / MACD绿柱扩大_零上,2026-05-28,15.2,MACD绿柱缩小_零下,2026-05-22,16.92,30,125.6
近1月日线+周线,SH.600880,博瑞传播,AI算力/数据中心产业链 / 消费电子/华为链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / Kimi概念 / 数据要素 / 数据确权；AI算力/数据中心产业链 / AI服务器/数据中心 / DeepSeek概念 / AIGC概念 / 百度概念；消费电子/华为链 / 消费电子/华为链 / 鸿蒙概念 / 虚拟现实,MACD绿柱扩大_零上,2026-05-20,4.82,MACD绿柱缩小_零下,2026-05-15,5,30,125.5
近1月日线+周线,SH.600057,厦门象屿,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 数据要素,MACD绿柱缩小_零下,2026-05-28,6.22,MACD绿柱扩大_零上,2026-05-15,6.66,31.5,124.7
近1月日线+周线,SZ.301565,中仑新材,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 无人机,拒绝回调相对强度,2026-06-01,27.26,MACD绿柱缩小_零下,2026-05-15,22.05,90,124.1
近1月日线+周线,SZ.002602,世纪华通,AI算力/数据中心产业链 / 消费电子/华为链,AI算力/数据中心产业链 / AI应用/智能体 / 虚拟数字人 / 数据安全；AI算力/数据中心产业链 / AI服务器/数据中心 / AIGC概念；消费电子/华为链 / 消费电子/华为链 / 增强现实,一买 / MACD绿柱缩小_零下,2026-05-27,14.76,MACD绿柱扩大_零上,2026-05-15,14.84,30,124
近1月日线+周线,SZ.301213,观想科技,AI算力/数据中心产业链 / 消费电子/华为链 / 军工装备产业链:商业航天/卫星互联网,AI算力/数据中心产业链 / AI应用/智能体 / 数字孪生 / 区块链；AI算力/数据中心产业链 / AI服务器/数据中心 / 边缘计算；消费电子/华为链 / 消费电子/华为链 / 虚拟现实,MACD绿柱扩大_零上,2026-05-28,69.48,MACD绿柱扩大_零上,2026-05-29,65,28,123.4
近1月日线+周线,SH.601598,中国外运,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 区块链,背驰买,2026-05-06,5.85,MACD绿柱扩大_零上,2026-05-08,6.08,29.75,121.9
近1月日线+周线,SZ.002491,通鼎互联,通信网络/5G产业链 / 光模块/CPO产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信设备 / 通信线缆及配套 / 通信设备；光模块/CPO产业链 / 光模块/CPO / 光纤概念 / 光通信模块,趋势买 / MACD绿柱扩大_零上,2026-05-28,23.12,缺口买:普通,2026-05-15,22.59,29.75,117.7
近1月日线+周线,SZ.000681,视觉中国,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 智谱AI概念 / AI语料 / 数字水印 / 数据确权；AI算力/数据中心产业链 / AI服务器/数据中心 / 多模态AI,MACD绿柱扩大_零上,2026-05-26,20.03,MACD绿柱缩小_零下,2026-05-29,20.59,30,117.4
近1月日线+周线,SH.688545,兴福电子,半导体产业链,半导体产业链 / 材料/光刻胶 / 电子化学品Ⅲ / 电子化学品Ⅱ；半导体产业链 / 晶圆制造 / 中芯概念 / 半导体概念,MACD绿柱扩大_零上,2026-05-29,75.2,缺口买:持续,2026-05-15,92.67,28,117.3
近1月日线+周线,SZ.301017,漱玉平民,AI算力/数据中心产业链,AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念,一买 / 背驰买 / 拒绝回调相对强度,2026-06-01,14.66,MACD绿柱扩大_零上,2026-05-15,13.42,87.612,116.8
近1月日线+周线,SH.600619,海立股份,消费电子/华为链 / 半导体产业链,消费电子/华为链 / 消费电子/华为链 / 小米概念；半导体产业链 / 半导体设备 / 光刻机(胶),MACD绿柱扩大_零上,2026-05-28,16.33,MACD绿柱缩小_零下,2026-05-15,18.3,30,116.5
近1月日线+周线,SZ.300120,经纬辉开,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 光学光电子 / 光学光电子 / 柔性屏(折叠屏) / OLED,背驰买 / 缺口买:持续,2026-05-29,8.3,MACD绿柱缩小_零下,2026-05-22,7.13,30,116.5
近1月日线+周线,SZ.300465,高伟达,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / 数字货币 / 区块链；AI算力/数据中心产业链 / AI服务器/数据中心 / ChatGPT概念；AI算力/数据中心产业链 / 算力租赁/智算云服务 / 云计算,一买 / 背驰买,2026-05-25,13.52,MACD绿柱缩小_零下,2026-05-29,14.21,30,115.5
近1月日线+周线,SZ.002156,通富微电,半导体产业链 / 消费电子/华为链 / 光模块/CPO产业链,半导体产业链 / 晶圆制造 / 集成电路封测 / 半导体 / 集成电路封装测试；半导体产业链 / 第三代半导体 / 碳化硅 / 第三代半导体；半导体产业链 / 封测 / 玻璃基板 / 先进封装,三买,2026-05-19,55.01,缺口买:持续,2026-05-08,57.16,32.5,113.6
近1月日线+周线,SZ.002646,天佑德酒,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 虚拟数字人,一买,2026-05-22,7.48,MACD绿柱缩小_零下,2026-05-15,7.8,30,113.1
近1月日线+周线,SZ.300525,博思软件,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / 财税数字化 / 数据要素 / 数字经济,一买,2026-05-28,8.62,MACD绿柱缩小_零下,2026-05-29,8.65,28,113.1
近1月日线+周线,SH.600894,广日股份,AI算力/数据中心产业链 / 消费电子/华为链,AI算力/数据中心产业链 / AI应用/智能体 / 大数据 / 智慧城市；消费电子/华为链 / 消费电子/华为链 / LED概念,MACD绿柱缩小_零下,2026-05-28,8.53,一买,2026-05-22,8.14,30,112.7
近1月日线+周线,SH.600690,海尔智家,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 工业互联；AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念,一买,2026-05-27,19.91,一买 / MACD绿柱缩小_零下,2026-05-29,20.88,30,110.8
近1月日线+周线,SZ.000680,山推股份,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 工程机械 / 工程机械 / 工程机械整机 / 工程机械概念,MACD绿柱扩大_零上,2026-05-22,11.63,MACD绿柱扩大_零上,2026-05-29,10.75,29.75,110.7
近1月日线+周线,SH.688102,斯瑞新材,军工装备产业链:商业航天/卫星互联网 / 光模块/CPO产业链 / 通信网络/5G产业链,军工装备产业链 / 商业航天/卫星互联网 / 商业航天；光模块/CPO产业链 / 光模块/CPO / CPO概念；通信网络/5G产业链 / 通信设备/网络建设 / 通信技术,MACD绿柱扩大_零上,2026-05-29,34.99,MACD绿柱扩大_零上,2026-05-29,34.99,29.75,108.8
近1月日线+周线,SH.605196,华通线缆,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 工业互联,MACD绿柱缩小_零下,2026-05-20,41.95,MACD绿柱扩大_零上,2026-05-29,39.51,30,107.3
近1月日线+周线,SZ.300155,安居宝,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 安防设备 / 安防概念,MACD绿柱扩大_零上,2026-05-29,4.73,MACD绿柱缩小_零下,2026-05-22,5.05,33.25,106.7
近1月日线+周线,SH.600673,东阳光,AI算力/数据中心产业链 / 机器人/自动化产业链 / 液冷/热管理产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / 算力概念 / 东数西算 / 数据中心；机器人/自动化产业链 / 自动化/机器人 / 人形机器人；液冷/热管理产业链 / 数据中心液冷/热管理 / 液冷概念,二买 / 三买 / MACD绿柱扩大_零上,2026-05-21,36.18,缺口买:普通,2026-05-08,39.9,42.9,103.9
近1月日线+周线,SH.600710,苏美达,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 工业互联,MACD绿柱缩小_零下,2026-05-26,11.88,MACD绿柱扩大_零上,2026-05-29,11.7,30,103.7
近1月日线+周线,SZ.300785,值得买,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 智谱AI概念 / Kimi概念；AI算力/数据中心产业链 / AI服务器/数据中心 / AIGC概念 / 百度概念；AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念,一买 / MACD绿柱扩大_零上,2026-05-28,43.3,MACD绿柱扩大_零上,2026-05-29,45.29,28,103.1
近1月日线+周线,SZ.002514,宝馨科技,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 工业母机,背驰买,2026-05-08,2.92,背驰买 / 缺口买:普通,2026-05-22,4.28,26.25,102.6
近1月日线+周线,SH.603988,中电电机,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 电机Ⅲ / 电机Ⅱ,一买,2026-05-28,20.995,MACD绿柱扩大_零上,2026-05-15,24.84,29.75,101.6
近1月日线+周线,SH.688068,热景生物,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 安防概念,一买 / MACD绿柱缩小_零下,2026-05-29,88.64,MACD绿柱缩小_零下,2026-05-08,111.91,30,101.6
近1月日线+周线,SZ.300360,炬华科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / 边缘计算,一买 / 背驰买,2026-05-18,14.15,MACD绿柱扩大_零上,2026-05-08,14.89,35,100.6
近1月日线+周线,SH.603330,天洋新材,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 消费电子概念 / 无线耳机,MACD绿柱扩大_零上,2026-05-20,6.86,MACD绿柱缩小_零下,2026-05-15,6.96,31.5,100.1
近1月日线+周线,SZ.002131,利欧股份,AI算力/数据中心产业链 / 半导体产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI语料 / 虚拟数字人；半导体产业链 / 第三代半导体 / IGBT概念 / 第三代半导体,一买,2026-05-28,5.85,MACD绿柱扩大_零上,2026-05-29,5.98,29.75,99.6
近1月日线+周线,SH.688273,麦澜德,AI算力/数据中心产业链 / 机器人/自动化产业链,AI算力/数据中心产业链 / AI应用/智能体 / 人工智能；机器人/自动化产业链 / 自动化/机器人 / 机器人概念,MACD绿柱扩大_零上,2026-05-22,42.711,MACD绿柱扩大_零上,2026-05-29,41.22,35,99.4
近1月日线+周线,SZ.002849,威星智能,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 仪器仪表,MACD绿柱扩大_零上,2026-05-29,16.41,MACD绿柱扩大_零上,2026-05-15,17.87,31.5,99.3
近1月日线+周线,SH.603187,海容冷链,AI算力/数据中心产业链 / 通信网络/5G产业链,AI算力/数据中心产业链 / 国产算力/华为生态 / 国产软件；通信网络/5G产业链 / 通信设备/网络建设 / 物联网,MACD绿柱缩小_零下,2026-05-29,12.99,MACD绿柱扩大_零上,2026-05-29,12.99,30,99.2
近1月日线+周线,SZ.002400,省广集团,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / AIGC概念,一买 / MACD绿柱扩大_零上,2026-05-28,7.86,MACD绿柱扩大_零上 / 缺口买:普通,2026-05-29,8.12,28,99.2
近1月日线+周线,SH.688658,悦康药业,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 华为概念,MACD绿柱扩大_零上,2026-05-25,19,MACD绿柱缩小_零下,2026-05-15,19.87,31.5,99
近1月日线+周线,SZ.300513,恒实科技,通信网络/5G产业链 / AI算力/数据中心产业链 / 消费电子/华为链,通信网络/5G产业链 / 通信设备/网络建设 / 通信服务 / 通信工程及服务 / 通信服务 / 通信；AI算力/数据中心产业链 / AI应用/智能体 / 数字孪生；消费电子/华为链 / 消费电子/华为链 / 虚拟现实,MACD绿柱扩大_零上,2026-05-28,8.42,MACD绿柱缩小_零下,2026-05-22,9.02,30,98.6
近1月日线+周线,SZ.301408,华人健康,AI算力/数据中心产业链,AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念,MACD绿柱扩大_零上,2026-05-22,17.77,MACD绿柱扩大_零上,2026-05-29,17.72,35,97.6
近1月日线+周线,SH.600198,大唐电信,通信网络/5G产业链 / 消费电子/华为链 / AI算力/数据中心产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信终端及配件 / 通信 / 通信设备；消费电子/华为链 / 消费电子/华为链 / 小米概念 / 智能穿戴；AI算力/数据中心产业链 / AI应用/智能体 / 数据安全,MACD绿柱扩大_零上,2026-05-29,8,MACD绿柱缩小_零下,2026-05-22,8.78,30,97.1
近1月日线+周线,SH.600358,国旅联合,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 虚拟现实,MACD绿柱扩大_零上,2026-05-29,5.98,MACD绿柱扩大_零上,2026-05-08,6.3,31.5,97.1
近1月日线+周线,SZ.002896,中大力德,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 机器人执行器 / 减速器,缺口买:普通,2026-05-26,89.68,MACD绿柱缩小_零下,2026-05-15,80.6,30,96.5
近1月日线+周线,SZ.002981,朝阳科技,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 消费电子 / 消费电子 / 消费电子零部件及组装 / 无线耳机,二买,2026-05-20,24.29,MACD绿柱缩小_零下,2026-05-22,26.21,34.1,94.9
近1月日线+周线,SH.688175,高凌信息,军工装备产业链:航空航天/船舶 / AI算力/数据中心产业链 / 军工装备产业链:商业航天/卫星互联网,军工装备产业链 / 航空航天/船舶 / 国防军工 / 军工电子Ⅲ / 军工电子Ⅱ / 军工；AI算力/数据中心产业链 / AI应用/智能体 / 人工智能；AI算力/数据中心产业链 / AI服务器/数据中心 / 网络安全,MACD绿柱扩大_零上,2026-05-18,34.44,MACD绿柱扩大_零上,2026-05-29,35.76,28,94.6
近1月日线+周线,SH.600596,新安股份,军工装备产业链:航空航天/船舶 / 光模块/CPO产业链 / 液冷/热管理产业链,军工装备产业链 / 航空航天/船舶 / 无人机；光模块/CPO产业链 / 光模块/CPO / 光纤概念；液冷/热管理产业链 / 数据中心液冷/热管理 / 液冷概念,MACD绿柱扩大_零上,2026-05-19,11.95,MACD绿柱扩大_零上,2026-05-15,11.92,29.75,94.3
近1月日线+周线,SZ.300245,天玑科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / 算力租赁/智算云服务 / 云计算,MACD绿柱缩小_零下,2026-05-22,6.82,一买,2026-05-29,5.97,30,94.1
近1月日线+周线,SZ.300781,因赛集团,AI算力/数据中心产业链 / 消费电子/华为链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 智谱AI概念 / Kimi概念 / 数据要素；AI算力/数据中心产业链 / AI服务器/数据中心 / 多模态AI / ChatGPT概念 / AIGC概念；AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念,一买,2026-05-28,31.16,MACD绿柱缩小_零下,2026-05-15,35.23,30,93.6
近1月日线+周线,SH.600986,浙文互联,AI算力/数据中心产业链 / 消费电子/华为链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / Kimi概念 / Web3.0 / 虚拟数字人；AI算力/数据中心产业链 / AI服务器/数据中心 / DeepSeek概念 / 算力概念 / AIGC概念 / 百度概念；AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念,一买 / MACD绿柱扩大_零上,2026-05-28,8.48,MACD绿柱扩大_零上,2026-05-29,8.84,28,93.1
近1月日线+周线,SZ.002542,*ST中岩,军工装备产业链:商业航天/卫星互联网,军工装备产业链 / 商业航天/卫星互联网 / 通用航空,一买,2026-05-27,1.48,一买,2026-05-29,1.48,28,92.8
近1月日线+周线,SZ.300539,横河精密,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 减速器,MACD绿柱扩大_零上,2026-05-28,25.99,MACD绿柱缩小_零下,2026-05-22,30.63,29.7,92.5
近1月日线+周线,SH.688365,光云科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 财税数字化 / ERP概念 / 数字经济；AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念 / 云计算；AI算力/数据中心产业链 / AI服务器/数据中心 / ChatGPT概念,MACD绿柱扩大_零上,2026-05-29,18.1,MACD绿柱扩大_零上,2026-05-29,18.1,29.75,92.4
近1月日线+周线,SH.600050,中国联通,AI算力/数据中心产业链 / 通信网络/5G产业链 / 军工装备产业链:商业航天/卫星互联网,AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念；通信网络/5G产业链 / 通信设备/网络建设 / 通信服务 / 通信服务 / 通信 / WiFi；AI算力/数据中心产业链 / AI应用/智能体 / 数据要素 / 数据安全 / 区块链,MACD绿柱扩大_零上,2026-05-27,4.38,MACD绿柱缩小_零下,2026-05-22,4.46,30,92
近1月日线+周线,SH.601298,青岛港,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 区块链,拒绝回调相对强度 / MACD绿柱扩大_零上,2026-06-01,9.39,MACD绿柱扩大_零上,2026-05-15,8.89,90,91.8
