状态,代码,名称,科技归属,科技证据,日线买信号,日线日期,日线价格,周线买信号,周线日期,周线价格,最高单信号分,综合分
近1月日线+周线,SZ.300155,安居宝,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 安防设备 / 安防概念,MACD绿柱扩大_零上,2026-05-29,4.73,MACD绿柱缩小_零下,2026-05-22,5.05,33.25,106.7
近1月日线+周线,SH.600673,东阳光,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / 算力概念 / 东数西算 / 数据中心,二买 / 三买 / MACD绿柱扩大_零上,2026-05-21,36.18,缺口买:普通,2026-05-08,39.9,42.9,103.9
近1月日线+周线,SZ.002849,威星智能,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 仪器仪表,MACD绿柱扩大_零上,2026-05-29,16.41,MACD绿柱扩大_零上,2026-05-15,17.87,31.5,99.3
近1月日线+周线,SZ.300513,恒实科技,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信服务 / 通信工程及服务 / 通信服务 / 通信,MACD绿柱扩大_零上,2026-05-28,8.42,MACD绿柱缩小_零下,2026-05-22,9.02,30,98.6
近1月日线+周线,SH.600198,大唐电信,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信终端及配件 / 通信 / 通信设备 / IPv6,MACD绿柱扩大_零上,2026-05-29,8,MACD绿柱缩小_零下,2026-05-22,8.78,30,97.1
近1月日线+周线,SZ.002896,中大力德,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 机器人执行器 / 减速器,缺口买:普通,2026-05-26,89.68,MACD绿柱缩小_零下,2026-05-15,80.6,30,96.5
近1月日线+周线,SZ.002981,朝阳科技,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 消费电子 / 消费电子 / 消费电子零部件及组装 / 无线耳机 / 苹果概念,二买,2026-05-20,24.29,MACD绿柱缩小_零下,2026-05-22,26.21,34.1,94.9
近1月日线+周线,SH.688175,高凌信息,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 国防军工 / 军工电子Ⅲ / 军工电子Ⅱ / 军工,MACD绿柱扩大_零上,2026-05-18,34.44,MACD绿柱扩大_零上,2026-05-29,35.76,28,94.6
近1月日线+周线,SZ.300245,天玑科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / 算力租赁/智算云服务 / 云计算,MACD绿柱缩小_零下,2026-05-22,6.82,一买,2026-05-29,5.97,30,94.1
近1月日线+周线,SH.688365,光云科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 财税数字化 / ERP概念 / 数字经济 / 人工智能,MACD绿柱扩大_零上,2026-05-29,18.1,MACD绿柱扩大_零上,2026-05-29,18.1,29.75,92.4
近1月日线+周线,SH.600050,中国联通,AI算力/数据中心产业链,AI算力/数据中心产业链 / 算力租赁/智算云服务 / 阿里概念,MACD绿柱扩大_零上,2026-05-27,4.38,MACD绿柱缩小_零下,2026-05-22,4.46,30,92
近1月日线+周线,SH.605123,派克新材,军工装备产业链:商业航天/卫星互联网,军工装备产业链 / 商业航天/卫星互联网 / 航空装备Ⅲ / 航空装备Ⅱ / 商业航天,MACD绿柱扩大_零上,2026-05-29,99.99,缺口买:普通,2026-05-08,116.51,22.75,90.4
近1月日线+周线,SH.603131,上海沪工,军工装备产业链:商业航天/卫星互联网,军工装备产业链 / 商业航天/卫星互联网 / 商业航天 / 卫星互联网,MACD绿柱扩大_零上,2026-05-28,20.04,MACD绿柱缩小_零下 / 缺口买:普通,2026-05-22,21.64,30,90.1
近1月日线+周线,SH.600797,浙大网新,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 数字经济 / 数据安全 / 智慧政务 / 区块链,一买,2026-05-29,7.02,MACD绿柱缩小_零下,2026-05-22,8.7,30,88.2
近1月日线+周线,SH.600148,长春一东,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 汽车 / 无人机,MACD绿柱扩大_零上,2026-05-27,17.57,MACD绿柱缩小_零下,2026-05-15,19.01,33.25,86.7
近1月日线+周线,SH.688031,星环科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 数据要素 / MLOps概念 / 数据安全 / 大数据,一买,2026-05-28,111.1,MACD绿柱扩大_零上,2026-05-29,116.88,28,86
近1月日线+周线,SH.688775,影石创新,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 消费电子 / 品牌消费电子 / 消费电子,MACD绿柱扩大_零上,2026-05-26,180.5,MACD绿柱缩小_零下,2026-05-15,215.2,30,84.5
近1月日线+周线,SH.603660,苏州科达,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 元宇宙概念 / 安防概念 / 大数据 / 智慧城市,MACD绿柱扩大_零上,2026-05-29,11.88,缺口买:普通,2026-05-08,13.33,24.5,81.9
近1月日线+周线,SH.600879,航天电子,军工装备产业链:商业航天/卫星互联网,军工装备产业链 / 商业航天/卫星互联网 / 航天装备Ⅲ / 航天装备Ⅱ / 低空经济 / 空间站概念 / 卫星互联网,MACD绿柱扩大_零上,2026-05-26,21.28,MACD绿柱扩大_零上,2026-05-29,19.51,31.5,76.9
近1月日线+周线,SZ.300718,长盛轴承,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 工程机械概念,缺口买:普通,2026-05-26,86.231,MACD绿柱缩小_零下,2026-05-08,78.751,30,76.8
近1月日线+周线,SH.603280,南方路机,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 工程机械 / 工程机械 / 工程机械整机 / 工程机械概念,一买,2026-05-28,28.48,MACD绿柱缩小_零下,2026-05-15,32.9,30,75.3
近1月日线+周线,SZ.300418,昆仑万维,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI语料 / Web3.0 / 虚拟数字人 / 元宇宙概念 / AI智能体,一买,2026-05-28,42.4,MACD绿柱扩大_零上,2026-05-29,43.92,28,73.9
近1月日线+周线,SH.603989,艾华集团,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 被动元件 / 被动元件概念,三买,2026-05-18,19.85,缺口买:持续,2026-05-29,35.81,32.5,73.4
近1月日线+周线,SH.688558,国盛智科,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 人形机器人 / 机器人概念 / 工业母机,MACD绿柱扩大_零上,2026-05-29,34.4,缺口买:普通,2026-05-08,41.976,28,71.2
近1月日线+周线,SZ.300872,天阳科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 数据要素 / 数字经济 / 智慧政务 / 数字货币 / 区块链,趋势买,2026-05-28,18.49,缺口买:普通,2026-05-08,20.3,21,70.1
近1月日线+周线,SH.600316,洪都航空,军工装备产业链:商业航天/卫星互联网,军工装备产业链 / 商业航天/卫星互联网 / 航空装备Ⅲ / 航空装备Ⅱ / 通用航空 / 航天航空,MACD绿柱缩小_零下,2026-05-29,29.38,MACD绿柱扩大_零上,2026-05-29,29.38,30,68.7
近1月日线+周线,SH.601360,三六零,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 虚拟数字人 / 数据安全 / 区块链 / AI智能体,MACD绿柱扩大_零上,2026-05-21,10.6,MACD绿柱缩小_零下,2026-05-15,10.98,30,68.7
近1月日线+周线,SZ.300466,赛摩智能,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 仪器仪表 / 新型工业化,MACD绿柱扩大_零上,2026-05-28,8.56,MACD绿柱缩小_零下,2026-05-15,9.34,31.5,67.9
近1月日线+周线,SZ.302132,中航成飞,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 军工电子Ⅲ / 军工电子Ⅱ / 大飞机 / 无人机,一买,2026-05-27,61,MACD绿柱缩小_零下,2026-05-22,65.01,30,67.7
近1月日线+周线,SZ.002296,辉煌科技,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信 / 通信设备 / 通信网络设备及器件 / WiFi,一买,2026-05-29,9.93,MACD绿柱扩大_零上,2026-05-29,10.01,28,66.9
近1月日线+周线,SZ.300711,广哈通信,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 其他通信设备 / 通信 / 通信设备 / 6G概念,一买 / MACD绿柱缩小_零下,2026-05-27,19.35,MACD绿柱扩大_零上,2026-05-29,19.78,31.5,65.7
近1月日线+周线,SZ.300098,高新兴,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信 / 通信设备 / 通信网络设备及器件,MACD绿柱扩大_零上,2026-05-29,5.31,MACD绿柱缩小_零下,2026-05-22,5.82,30,64.9
近1月日线+周线,SH.600288,大恒科技,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 虚拟现实 / 全息技术,MACD绿柱扩大_零上,2026-05-20,14.61,MACD绿柱扩大_零上,2026-05-29,13.27,29.75,64.7
近1月日线+周线,SZ.300956,英力股份,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 消费电子 / 消费电子 / 消费电子零部件及组装,一买 / MACD绿柱扩大_零上,2026-05-28,13.64,MACD绿柱缩小_零下,2026-05-15,15.48,30,64.6
近1月日线+周线,SH.688049,炬芯科技,半导体产业链,半导体产业链 / 芯片设计 / 数字芯片设计 / AI芯片 / 汽车芯片 / 国产芯片,MACD绿柱扩大_零上,2026-05-29,45.14,MACD绿柱缩小_零下,2026-05-22,50.31,30,63.7
近1月日线+周线,SH.603809,豪能股份,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 人形机器人 / 减速器,MACD绿柱扩大_零上,2026-05-28,10.55,MACD绿柱缩小_零下,2026-05-15,11.48,30,61.8
近1月日线+周线,SZ.300598,诚迈科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件,一买,2026-05-29,31.51,MACD绿柱缩小_零下,2026-05-22,37.1,30,57.2
近1月日线+周线,SZ.300324,旋极信息,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 财税数字化 / 时空大数据 / 数字孪生,MACD绿柱扩大_零上,2026-05-27,4.59,MACD绿柱缩小_零下,2026-05-29,4.49,30,57.1
近1月日线+周线,SH.688157,松井股份,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / AI眼镜 / 华为概念 / 小米概念 / 苹果概念,MACD绿柱缩小_零下,2026-05-20,34.7,MACD绿柱扩大_零上,2026-05-29,27.88,30,56.1
近1月日线+周线,SZ.002698,博实股份,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 机器人,MACD绿柱扩大_零上,2026-05-27,13.19,MACD绿柱缩小_零下,2026-05-22,14.23,30,55.7
近1月日线+周线,SZ.300455,航天智装,军工装备产业链:商业航天/卫星互联网,军工装备产业链 / 商业航天/卫星互联网 / 卫星互联网 / 北斗导航,MACD绿柱扩大_零上,2026-05-27,23.15,MACD绿柱扩大_零上,2026-05-29,21.7,31.5,55.7
近1月日线+周线,SH.688375,国博电子,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 军工电子Ⅲ / 军工电子Ⅱ / 军工,MACD绿柱扩大_零上,2026-05-21,106,MACD绿柱扩大_零上,2026-05-29,91,31.5,55
近1月日线+周线,SZ.002376,新北洋,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 智慧政务 / 数字货币,MACD绿柱扩大_零上,2026-05-20,6.824,MACD绿柱缩小_零下,2026-05-15,6.854,30,54.8
近1月日线+周线,SZ.002289,*ST宇顺,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 光学光电子 / 光学光电子,趋势买 / MACD绿柱扩大_零上,2026-05-28,40.9,缺口买:持续,2026-05-08,42.33,33.25,52.3
近1月日线+周线,SZ.301006,迈拓股份,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 仪器仪表,MACD绿柱扩大_零上,2026-05-22,17.26,MACD绿柱扩大_零上,2026-05-29,15.24,28,51.5
近1月日线+周线,SH.600718,东软集团,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / DeepSeek概念 / ChatGPT概念 / AIGC概念 / 边缘计算 / 百度概念,一买,2026-05-28,8.09,MACD绿柱缩小_零下,2026-05-22,8.61,30,51.1
近1月日线+周线,SH.688095,福昕软件,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / 区块链 / 大数据,MACD绿柱扩大_零上,2026-05-29,70.49,MACD绿柱缩小_零下,2026-05-22,77.4,30,50.7
近1月日线+周线,SH.600745,闻泰科技,半导体产业链,半导体产业链 / 第三代半导体 / 分立器件 / IGBT概念 / 第三代半导体 / 氮化镓,缺口买:普通,2026-06-01,21.7,缺口买:普通 / 缺口买:衰竭,2026-06-01,21.7,16.25,50.2
近1月日线+周线,SH.603738,泰晶科技,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 被动元件 / 被动元件概念,MACD绿柱扩大_零上,2026-05-29,43.42,缺口买:普通,2026-05-15,55.58,28,50
近1月日线+周线,SZ.300571,平治信息,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信服务 / 通信服务 / 通信应用增值服务 / WiFi,MACD绿柱扩大_零上,2026-05-29,46.87,缺口买:持续,2026-05-08,58,24.5,48.3
近1月日线+周线,SH.600571,信雅达,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 数字水印 / 数据安全 / 数字货币 / AI智能体 / 大数据,一买,2026-05-27,11.43,MACD绿柱缩小_零下,2026-05-15,12.87,30,48
近1月日线+周线,SH.688132,邦彦技术,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 国防军工 / 军工电子Ⅲ / 军工电子Ⅱ / 军工,MACD绿柱扩大_零上,2026-05-27,16.02,MACD绿柱缩小_零下,2026-05-22,17.39,30,46.4
近1月日线+周线,SZ.300229,拓尔思,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / AI语料 / Web3.0 / 虚拟数字人 / 数据安全,一买,2026-05-28,16.5,MACD绿柱缩小_零下,2026-05-22,18.37,30,44.6
近1月日线+周线,SZ.301161,唯万密封,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 工程机械 / 工程机械器件 / 工程机械 / 工程机械概念,MACD绿柱扩大_零上,2026-05-29,30.66,MACD绿柱缩小_零下,2026-05-29,30.66,30,44.5
近1月日线+周线,SH.603236,移远通信,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信终端及配件 / 通信 / 通信设备 / 通信技术,背驰买,2026-05-18,71.55,MACD绿柱缩小_零下,2026-05-29,75.1,30,43.8
近1月日线+周线,SH.688038,中科通达,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / AI应用 / 数据要素 / 数字经济 / 数据安全,MACD绿柱缩小_零下,2026-05-22,20.39,MACD绿柱扩大_零上,2026-05-29,18.59,30,40.9
近1月日线+周线,SZ.300053,航宇微,半导体产业链,半导体产业链 / 芯片设计 / 数字芯片设计 / AI芯片 / 汽车芯片 / EDA概念,MACD绿柱扩大_零上,2026-05-28,16.84,MACD绿柱扩大_零上,2026-05-29,16.68,29.75,40.5
近1月日线+周线,SZ.002977,天箭科技,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 军工电子Ⅲ / 军工电子Ⅱ,MACD绿柱扩大_零上,2026-05-27,26.82,MACD绿柱缩小_零下,2026-05-15,29.97,30,37.1
近1月日线+周线,SZ.301159,三维天地,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / AI应用 / 数据要素 / 数据确权 / 数字经济,一买,2026-05-29,33.7,MACD绿柱扩大_零上,2026-05-29,33.9,31.5,36.4
近1月日线+周线,SZ.301339,通行宝,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 数据要素 / 数字经济 / 数字孪生 / 智慧城市,一买,2026-05-28,11.5,MACD绿柱缩小_零下,2026-05-15,12.65,30,34.5
近1月日线+周线,SZ.300965,恒宇信通,军工装备产业链:商业航天/卫星互联网,军工装备产业链 / 商业航天/卫星互联网 / 航空装备Ⅲ / 航空装备Ⅱ / 卫星互联网 / 北斗导航 / 航天航空,MACD绿柱扩大_零上,2026-05-29,59.85,缺口买:衰竭,2026-06-01,52.68,26.25,31.2
近1月日线+周线,SZ.003031,中瓷电子,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信终端及配件 / 通信 / 通信设备,MACD绿柱扩大_零上,2026-05-29,141.9,缺口买:普通,2026-05-15,160.6,24.5,30.7
近1月日线+周线,SH.688060,云涌科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / 国产算力/华为生态 / 信创 / 国产软件,MACD绿柱扩大_零上,2026-05-25,44.11,MACD绿柱扩大_零上,2026-05-29,39.04,31.5,29.5
近1月日线+周线,SH.688047,龙芯中科,半导体产业链,半导体产业链 / 芯片设计 / 数字芯片设计 / 国产芯片,MACD绿柱扩大_零上,2026-05-29,145.8,缺口买:普通,2026-05-08,173.82,29.75,26.9
近1月日线+周线,SZ.002792,通宇通讯,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信设备 / 通信网络设备及器件 / 毫米波概念 / F5G概念,MACD绿柱扩大_零上,2026-05-29,41.71,MACD绿柱扩大_零上,2026-05-29,41.71,24.5,26.1
近1月日线+周线,SH.600589,大位科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI服务器/数据中心 / 算力概念 / 东数西算 / 数据中心 / 边缘计算,MACD绿柱扩大_零上 / 缺口买:普通,2026-05-29,10.85,缺口买:持续,2026-05-08,12.51,22.75,20.8
近1月日线+周线,SH.688557,兰剑智能,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信技术 / 5G概念,MACD绿柱扩大_零上,2026-05-29,31.17,MACD绿柱缩小_零下,2026-05-22,35.19,30,18.5
近1月日线+周线,SZ.300253,卫宁健康,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 垂直应用软件 / AI智能体,一买 / MACD绿柱扩大_零上,2026-05-29,7.8,MACD绿柱缩小_零下,2026-05-22,8.62,30,18.4
近1月日线+周线,SZ.301112,信邦智能,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 机器人 / 新型工业化,MACD绿柱扩大_零上,2026-05-29,33.02,MACD绿柱缩小_零下,2026-05-08,36.57,30,18.3
近1月日线+周线,SH.688007,光峰科技,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 消费电子 / 品牌消费电子 / 消费电子 / AI眼镜 / 小米概念,MACD绿柱扩大_零上,2026-05-29,13.81,MACD绿柱缩小_零下,2026-05-29,13.81,30,17.1
近1月日线+周线,SH.688053,ST思科瑞,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 国防军工 / 军工电子Ⅲ / 军工电子Ⅱ / 军工,MACD绿柱扩大_零上,2026-05-29,37.13,MACD绿柱扩大_零上,2026-05-29,37.13,28,16.5
近1月日线+周线,SZ.301180,万祥科技,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 消费电子 / 消费电子 / 消费电子零部件及组装 / 苹果概念,一买,2026-05-29,14.97,MACD绿柱扩大_零上,2026-05-29,15.1,28,16.1
近1月日线+周线,SH.603633,徕木股份,消费电子/华为链,消费电子/华为链 / 消费电子/华为链 / 消费电子 / 消费电子 / 消费电子零部件及组装,MACD绿柱扩大_零上,2026-05-21,7.66,MACD绿柱缩小_零下,2026-05-22,8.05,30,15
近1月日线+周线,SH.688608,恒玄科技,半导体产业链,半导体产业链 / 晶圆制造 / 半导体 / 半导体 / 半导体概念,MACD绿柱扩大_零上,2026-05-29,166.71,MACD绿柱缩小_零下,2026-05-08,178.96,27.6,13.7
近1月日线+周线,SZ.300447,全信股份,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 国防军工 / 军工电子Ⅲ / 军工电子Ⅱ / 大飞机 / 军民融合,MACD绿柱扩大_零上,2026-05-19,18.68,MACD绿柱扩大_零上,2026-05-29,15.68,28,13.1
近1月日线+周线,SZ.300045,华力创通,军工装备产业链:航空航天/船舶,军工装备产业链 / 航空航天/船舶 / 国防军工 / 军工电子Ⅲ / 军工电子Ⅱ / 大飞机,MACD绿柱扩大_零上,2026-05-26,21.26,MACD绿柱缩小_零下,2026-05-22,22.45,30,11.6
近1月日线+周线,SH.688592,司南导航,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信终端及配件 / 通信 / 通信设备,MACD绿柱扩大_零上,2026-05-25,42.65,MACD绿柱扩大_零上,2026-05-29,38.17,35,10.9
近1月日线+周线,SZ.300287,飞利信,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 时空大数据 / Web3.0 / 元宇宙概念 / 智慧政务,MACD绿柱扩大_零上,2026-05-27,4.12,MACD绿柱缩小_零下,2026-05-15,4.58,30,10.5
近1月日线+周线,SZ.301315,威士顿,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / AI应用 / ERP概念 / 数字经济 / 工业互联,MACD绿柱扩大_零上,2026-05-25,49.26,MACD绿柱缩小_零下,2026-05-22,50.03,30,8.2
近1月日线+周线,SH.688251,井松智能,机器人/自动化产业链,机器人/自动化产业链 / 自动化/机器人 / 人形机器人 / 机器人概念,MACD绿柱缩小_零下,2026-05-22,29.1,MACD绿柱扩大_零上,2026-05-29,25.4,30,5.9
近1月日线+周线,SH.688618,三旺通信,通信网络/5G产业链,通信网络/5G产业链 / 通信设备/网络建设 / 通信设备 / 通信设备 / 通信网络设备及器件,MACD绿柱扩大_零上,2026-05-29,35.75,缺口买:普通,2026-05-15,42.16,26.25,4.5
近1月日线+周线,SZ.300736,百邦科技,AI算力/数据中心产业链,AI算力/数据中心产业链 / AI应用/智能体 / 区块链,MACD绿柱扩大_零上,2026-05-29,34.09,缺口买:普通,2026-05-15,37.41,26.25,4.3
